County,Year,Population
Steuben,2000,101886
St. Lawrence,2000,117690
Suffolk,2000,1443155
Sullivan,2000,72302
Tioga,2000,54454
Tompkins,2000,101841
Ulster,2000,174463
Warren,2000,64074
Washington,2000,62718
Wayne,2000,99615
Westchester,2000,944382
Wyoming,2000,46083
Yates,2000,25608
Albany,1999,292929
Allegany,1999,51057
Bronx,1999,1218399
Broome,1999,196775
Cattaraugus,1999,85186
Cayuga,1999,81359
Chautauqua,1999,138265
Chemung,1999,92129
Chenango,1999,51112
Clinton,1999,80064
Columbia,1999,63295
Cortland,1999,48089
Delaware,1999,46140
Dutchess,1999,265628
Erie,1999,935566
Essex,1999,37592
Franklin,1999,48639
Fulton,1999,52976
Genesee,1999,60725
Greene,1999,47863
Hamilton,1999,5199
Herkimer,1999,64124
Jefferson,1999,111180
Kings,1999,2332789
Lewis,1999,27526
Livingston,1999,66077
Madison,1999,71152
Monroe,1999,716911
Montgomery,1999,50814
Nassau,1999,1303746
New York,1999,1508140
Niagara,1999,218326
Oneida,1999,230898
Onondaga,1999,458838
Ontario,1999,99779
Orange,1999,329606
Orleans,1999,44570
Oswego,1999,124151
Otsego,1999,60859
Putnam,1999,93467
Queens,1999,1983613
Rensselaer,1999,152868
Richmond,1999,386322
Rockland,1999,281668
Saratoga,1999,197838
Schenectady,1999,145701
Schoharie,1999,32476
Schuyler,1999,19147
Seneca,1999,31980
Steuben,1999,98065
St. Lawrence,1999,113821
Suffolk,1999,1372876
Sullivan,1999,69192
Tioga,1999,52538
Tompkins,1999,96133
Ulster,1999,166546
Warren,1999,61333
Washington,1999,60552
Wayne,1999,95088
Westchester,1999,898972
Wyoming,1999,44101
Yates,1999,24230
Albany,1998,294930
Allegany,1998,51741
Bronx,1998,1206670
Broome,1998,199151
Cattaraugus,1998,85426
Cayuga,1998,82487
Chautauqua,1998,140309
Chemung,1998,93283
Chenango,1998,52468
Clinton,1998,80828
Columbia,1998,64217
Cortland,1998,48947
Delaware,1998,46653
Dutchess,1998,265243
Erie,1998,946455
Essex,1998,38449
Franklin,1998,49032
Fulton,1998,53399
Genesee,1998,61938
Greene,1998,47953
Hamilton,1998,5224
Herkimer,1998,65829
Jefferson,1998,113369
Kings,1998,2310331
Lewis,1998,28258
Livingston,1998,66631
Madison,1998,71802
Monroe,1998,719287
Montgomery,1998,51561
Nassau,1998,1306423
New York,1998,1493622
Niagara,1998,220711
Oneida,1998,233677
Onondaga,1998,462459
Ontario,1998,100186
Orange,1998,327847
Orleans,1998,44828
Oswego,1998,125578
Otsego,1998,61609
Putnam,1998,92576
Queens,1998,1964518
Rensselaer,1998,154688
Richmond,1998,382604
Rockland,1998,280448
Saratoga,1998,196997
Schenectady,1998,147533
Schoharie,1998,32551
Schuyler,1998,19202
Seneca,1998,32888
Steuben,1998,99265
St. Lawrence,1998,114420
Suffolk,1998,1365477
Sullivan,1998,70503
Tioga,1998,53075
Tompkins,1998,96849
Ulster,1998,167283
Warren,1998,62023
Washington,1998,60816
Wayne,1998,95493
Westchester,1998,898102
