County,Year,Population,Index Count,Violent Count,Property Count,Firearm Count
Schoharie,2009,31936,572,27,545,3
Schuyler,2009,18839,174,18,156,4
Seneca,2009,34162,651,48,603,5
Steuben,2009,96303,1401,134,1267,3
St Lawrence,2009,109430,1818,194,1624,14
Suffolk,2009,1521962,32604,2740,29864,582
Sullivan,2009,76387,1544,186,1358,15
Tioga,2009,49986,555,30,525,6
Tompkins,2009,101616,2558,153,2405,13
Ulster,2009,182041,3898,445,3453,57
Warren,2009,66247,1444,77,1367,3
Washington,2009,62991,769,60,709,5
Wayne,2009,91270,1774,140,1634,15
Westchester,2009,956850,16636,2482,14154,317
Wyoming,2009,41453,500,47,453,8
Yates,2009,24634,350,11,339,0
Albany,2008,299789,10750,1356,9394,238
Allegany,2008,49594,651,91,560,2
Bronx,2008,1385371,35284,11345,23939,0
Broome,2008,195377,6863,555,6308,43
Cattaraugus,2008,77775,1930,215,1715,16
Cayuga,2008,79812,1853,147,1706,7
Chautauqua,2008,133217,3734,320,3414,35
Chemung,2008,87619,2337,204,2133,23
Chenango,2008,51170,934,41,893,4
Clinton,2008,82475,1819,142,1677,3
Columbia,2008,62256,1336,137,1199,15
Cortland,2008,48328,1106,112,994,4
Delaware,2008,45266,738,74,664,10
Dutchess,2008,294181,6537,892,5645,201
Erie,2008,908651,33375,4735,28640,1299
Essex,2008,36790,467,51,416,3
Franklin,2008,50353,1003,95,908,2
Fulton,2008,55012,1487,99,1388,12
Genesee,2008,57721,1446,113,1333,11
Greene,2008,49358,1418,102,1316,6
Hamilton,2008,5036,41,5,36,0
Herkimer,2008,62313,1285,201,1084,7
Jefferson,2008,117896,2771,271,2500,28
Kings,2008,2549604,59547,16895,42652,0
Lewis,2008,26403,384,35,349,5
Livingston,2008,63029,1075,72,1003,6
Madison,2008,69859,1461,70,1391,7
Monroe,2008,728695,24904,2917,21987,882
Montgomery,2008,48560,785,134,651,5
Nassau,2008,1354833,21075,2309,18766,407
New York,2008,1634686,54731,9176,45555,0
Niagara,2008,214193,7167,763,6404,107
Oneida,2008,231868,6610,672,5938,152
Onondaga,2008,453316,13460,1728,11732,309
Ontario,2008,104379,1897,108,1789,11
Orange,2008,381554,9184,1039,8145,123
Orleans,2008,42138,1107,73,1034,9
Oswego,2008,121286,2593,184,2409,29
Otsego,2008,62469,1102,86,1016,10
Putnam,2008,99894,1052,83,969,4
Queens,2008,2289695,41349,9689,31660,0
Rensselaer,2008,155621,4770,547,4223,89
Richmond,2008,485719,7508,1325,6183,0
Rockland,2008,298129,5047,542,4505,36
Saratoga,2008,217656,3140,161,2979,9
Schenectady,2008,151325,5643,740,4903,174
Schoharie,2008,32113,605,22,583,1
Schuyler,2008,18989,207,15,192,1
Seneca,2008,34332,665,46,619,5
Steuben,2008,96608,1498,161,1337,1
St Lawrence,2008,109530,2327,210,2117,6
Suffolk,2008,1522727,34015,2613,31402,568
Sullivan,2008,76571,1806,195,1611,11
Tioga,2008,50281,580,36,544,4
Tompkins,2008,101591,2475,137,2338,20
Ulster,2008,182305,3670,459,3211,33
Warren,2008,66478,1614,111,1503,4
Washington,2008,62944,911,119,792,6
Wayne,2008,90960,2008,185,1823,8
Westchester,2008,954255,16723,2414,14309,319
Wyoming,2008,41742,547,52,495,9
Yates,2008,24542,284,15,269,1
Albany,2007,297154,10584,1468,9116,208
Allegany,2007,50178,710,86,624,6
Bronx,2007,1364553,36053,11689,24364,0
Broome,2007,195161,6023,459,5564,33
Cattaraugus,2007,79103,2114,149,1965,25
Cayuga,2007,80918,1847,172,1675,16
Chautauqua,2007,134387,3805,341,3464,38
Chemung,2007,88057,2606,224,2382,28
Chenango,2007,51696,970,47,923,4
Clinton,2007,82260,2015,221,1794,4
Columbia,2007,62763,1362,149,1213,17
Cortland,2007,48336,1285,116,1169,14
